T,TM,Tm,H,PP,VV,V,VM,PM_2_5
21.0,27.6,14.6,61.0,0.0,6.0,2.2,3.5,284.7958333333333
21.6,27.7,17.0,59.0,0.0,6.8,2.0,3.5,239.69545454545457
22.3,29.0,16.1,48.0,0.0,6.9,2.8,3.5,182.1875
20.9,29.0,16.0,66.0,0.0,5.5,2.2,3.5,264.06428571428575
20.9,27.8,16.0,62.0,0.0,6.3,3.0,5.4,223.20833333333331
21.0,28.5,15.0,58.0,0.0,6.8,3.0,5.4,200.64583333333337
21.2,28.0,16.9,66.0,0.0,5.5,2.2,3.5,285.225
20.7,28.3,17.2,61.0,0.0,6.3,2.2,3.5,334.3411764705882
20.7,27.2,15.5,61.0,0.0,6.3,3.3,5.4,276.90833333333336
20.4,28.2,15.8,64.0,0.0,6.3,2.8,7.6,108.0
21.7,27.6,15.3,64.0,0.0,6.3,3.5,5.4,107.625
21.7,28.9,18.5,68.0,0.0,6.3,5.2,11.1,125.89166666666668
22.6,30.3,16.7,52.0,0.0,6.3,3.1,5.4,181.01250000000005
22.1,26.0,19.7,79.0,0.25,6.3,3.5,5.4,152.32083333333335
23.9,31.7,18.2,54.0,0.0,6.9,2.8,7.6,319.7375
23.1,32.0,16.0,46.0,0.0,6.9,3.3,3.5,332.7083333333333
23.5,31.5,16.4,40.0,0.0,7.7,3.1,3.5,279.6
22.7,31.7,16.7,50.0,0.0,6.9,3.1,5.4,179.11666666666667
23.9,30.9,16.1,36.0,0.0,6.9,3.1,5.4,54.79166666666666
23.8,32.2,16.6,37.0,0.0,6.3,3.0,7.6,93.375
23.4,32.0,15.8,35.0,0.0,6.9,3.1,5.4,103.0
22.1,29.6,15.8,54.0,0.0,6.9,4.3,5.4,132.20833333333334
22.6,28.8,17.4,61.0,0.0,6.3,3.5,5.4,127.70833333333331
23.1,29.0,17.3,45.0,0.0,6.9,3.9,5.4,145.77777777777777
23.7,31.2,16.8,42.0,0.0,6.9,1.5,5.4,90.33333333333331
24.6,31.8,17.7,38.0,0.0,6.3,1.9,3.5,135.83333333333334
25.9,33.4,19.3,41.0,0.0,6.3,2.4,5.4,122.5
26.7,35.5,19.0,31.0,0.0,5.5,1.9,3.5,69.66666666666667
25.8,34.9,20.0,41.0,0.0,6.9,3.3,5.4,79.83333333333333
24.3,33.3,19.1,36.0,0.0,6.9,4.3,9.4,83.61111111111111
24.2,32.5,16.9,29.0,0.0,6.9,3.3,7.6,36.35714285714285
24.4,32.0,15.7,33.0,0.0,6.9,3.9,5.4,2.555555555555556
25.8,32.0,18.2,43.0,0.0,6.9,3.0,5.4,2.095238095238096
25.6,33.8,21.1,62.0,36.83,6.9,0.4,3.5,117.58333333333331
26.7,32.5,21.2,54.0,0.0,6.9,2.8,5.4,122.70833333333331
25.2,34.0,22.0,67.0,2.54,6.9,3.1,5.4,59.208333333333336
25.3,30.4,20.8,57.0,0.0,6.9,3.9,7.6,80.56521739130434
28.0,35.0,22.4,45.0,0.0,6.9,3.1,5.4,98.70833333333331
28.0,36.0,23.2,48.0,0.0,6.9,3.0,5.4,123.70833333333331
27.4,34.8,22.4,49.0,0.0,6.9,2.4,3.5,64.79166666666667
28.1,35.6,20.6,25.0,0.0,6.9,1.9,3.5,52.333333333333336
28.6,37.2,21.6,28.0,0.0,6.9,2.8,5.4,52.04166666666666
28.3,36.1,21.2,28.0,0.0,6.9,2.4,5.4,128.33333333333334
28.6,35.8,22.5,34.0,0.0,6.9,2.8,5.4,46.41666666666666
28.9,36.3,21.9,40.0,0.0,6.9,3.1,3.5,33.09090909090909
29.4,35.6,23.5,39.0,0.0,6.9,3.9,5.4,36.42857142857143
28.6,35.5,22.5,49.0,0.51,6.9,3.0,5.4,81.83333333333333
30.1,36.0,24.5,39.0,0.0,6.9,3.5,5.4,105.33333333333331
29.4,36.5,24.4,43.0,0.0,8.5,3.5,3.5,117.75
29.3,37.0,24.0,31.0,0.0,6.9,1.9,3.5,84.5
28.8,36.5,23.2,36.0,0.0,6.9,4.1,7.6,46.91666666666666
29.0,35.6,22.6,38.0,0.0,6.9,3.9,5.4,104.625
28.9,35.6,23.5,53.0,0.0,6.9,4.1,5.4,110.875
26.6,35.7,23.0,65.0,0.0,6.9,4.3,7.6,147.28571428571428
28.7,37.0,22.5,47.0,1.02,6.9,1.3,3.5,127.86666666666666
26.8,35.6,20.5,48.0,0.0,6.9,3.9,9.4,94.75
27.6,35.1,22.3,49.0,0.0,6.9,3.3,7.6,142.5
28.2,34.2,23.3,51.0,0.0,6.9,2.8,3.5,133.375
26.9,37.0,20.8,59.0,0.0,6.9,2.8,3.5,158.29166666666666
28.1,33.0,23.7,60.0,0.0,6.9,2.0,5.4,101.5
27.1,33.8,22.5,63.0,0.0,6.9,5.0,7.6,106.5
27.1,35.0,21.8,58.0,2.54,6.3,6.9,18.3,128.125
26.2,35.5,19.4,67.0,20.07,6.9,4.3,7.6,101.95833333333331
26.8,33.7,20.2,61.0,0.0,6.9,4.8,9.4,98.41666666666669
26.1,35.1,19.9,70.0,40.89,6.9,4.6,7.6,94.375
27.6,34.0,21.9,67.0,0.0,8.5,4.3,7.6,107.625
26.2,33.3,21.0,75.0,0.0,6.9,6.1,9.4,110.41666666666669
23.1,33.1,20.0,84.0,83.31,6.3,5.0,7.6,95.83333333333331
24.9,31.2,20.8,74.0,0.51,6.9,6.3,9.4,72.25
26.1,31.5,20.8,69.0,0.0,6.9,4.4,5.4,38.66666666666666
26.4,32.1,21.8,70.0,0.0,6.9,6.3,9.4,45.375
25.7,32.4,22.0,70.0,0.0,6.9,6.3,7.6,65.16666666666667
25.0,29.6,21.5,67.0,0.0,6.9,7.4,9.4,77.66666666666667
23.4,29.6,21.1,77.0,0.0,6.9,8.1,14.8,70.25
24.2,27.5,20.7,78.0,1.02,6.9,7.2,9.4,56.29166666666666
25.8,29.7,22.0,66.0,1.02,6.9,7.4,11.1,77.0
25.1,31.2,21.5,67.0,0.0,6.9,7.0,9.4,32.958333333333336
23.4,29.0,20.0,76.0,3.56,6.9,5.2,9.4,80.625
24.2,28.0,21.0,83.0,0.0,6.9,5.7,7.6,90.70833333333331
24.6,29.0,20.8,75.0,0.25,6.9,7.8,9.4,97.29166666666669
24.2,29.0,20.4,71.0,0.0,7.4,11.9,18.3,40.375
23.6,29.5,20.4,73.0,361.19,7.4,10.9,14.8,49.41666666666666
23.2,29.3,20.5,79.0,6.1,6.9,3.9,5.4,51.26086956521739
23.2,27.4,20.4,78.0,2.54,6.9,4.4,7.6,43.66666666666666
24.4,28.2,20.2,68.0,0.0,6.9,5.0,9.4,29.83333333333333
22.9,28.5,20.0,75.0,1.52,7.4,7.6,51.9,35.208333333333336
22.9,27.0,20.0,73.0,0.0,6.9,9.4,14.8,37.625
23.5,26.7,20.6,66.0,9.4,6.9,9.1,11.1,36.0
23.8,28.7,19.7,74.0,0.76,6.9,8.1,11.1,70.58333333333333
25.4,30.5,20.5,64.0,0.0,6.9,9.1,14.8,38.25
24.9,30.7,22.0,75.0,1.27,5.8,3.0,7.6,15.416666666666666
25.2,30.5,21.4,67.0,8.38,6.9,4.8,11.1,41.375
25.0,31.5,21.6,69.0,1.78,6.9,5.7,9.4,25.541666666666668
24.3,31.2,20.3,72.0,0.0,6.9,8.9,14.8,28.375
25.7,30.2,21.2,65.0,0.0,6.3,7.2,11.1,50.333333333333336
23.8,31.3,21.5,79.0,1.02,6.9,5.6,11.1,31.916666666666668
23.3,27.6,21.2,75.0,0.0,6.3,2.8,5.4,35.291666666666664
24.8,27.6,21.6,67.0,0.0,6.9,1.9,5.4,26.83333333333333
22.3,28.3,19.2,84.0,128.78,6.9,2.2,7.6,21.125
22.6,28.9,20.3,84.0,5.33,6.3,6.7,14.8,35.708333333333336
22.3,28.6,20.3,86.0,13.21,6.9,8.1,11.1,43.583333333333336
23.6,27.0,20.3,78.0,3.3,6.9,7.0,9.4,46.04166666666666
22.8,26.8,20.5,86.0,31.75,4.8,6.3,9.4,82.875
23.8,28.0,20.8,77.0,0.0,6.9,9.1,11.1,64.91666666666667
22.3,28.5,21.0,89.0,0.25,4.8,7.6,14.8,30.666666666666668
23.7,30.6,19.8,84.0,71.88,6.3,4.1,7.6,33.166666666666664
22.6,27.8,20.8,92.0,33.02,4.8,1.9,5.4,30.625
23.2,27.3,19.9,87.0,21.84,5.5,3.7,7.6,30.33333333333333
25.3,31.0,22.2,72.0,0.0,6.9,4.6,7.6,92.25
23.7,31.1,21.0,78.0,2.29,6.9,6.3,7.6,71.66666666666667
23.1,27.2,20.4,75.0,0.0,6.3,11.7,14.8,69.70833333333333
23.2,27.7,19.4,68.0,0.0,6.9,10.9,18.3,62.375
22.8,28.5,19.3,80.0,0.0,6.3,10.0,14.8,24.875
22.8,29.0,19.4,81.0,54.36,6.3,3.3,5.4,43.958333333333336
23.8,27.2,20.6,78.0,9.14,6.9,3.9,9.4,41.5
21.9,28.1,20.0,91.0,55.88,5.5,4.1,7.6,38.79166666666666
23.1,27.4,20.7,85.0,0.51,6.3,4.3,7.6,31.65217391304348
23.3,28.4,19.4,82.0,45.97,6.3,3.1,5.4,26.666666666666668
24.9,28.0,20.6,74.0,0.0,6.9,4.3,7.6,29.0
23.7,29.0,21.2,84.0,14.48,5.5,1.1,5.4,61.708333333333336
24.6,28.8,21.3,80.0,48.01,6.9,3.0,7.6,63.17391304347826
24.8,29.0,21.5,80.0,2.03,6.6,3.1,37.0,41.583333333333336
22.9,27.5,20.5,87.0,68.07,5.3,2.4,5.4,80.04166666666667
22.1,27.6,19.8,93.0,34.04,3.7,1.9,9.4,82.83333333333333
22.3,25.6,19.6,85.0,40.39,5.3,6.5,7.6,95.25
23.7,29.0,20.1,67.0,0.0,6.0,1.3,3.5,126.16666666666669
24.4,29.8,20.4,67.0,0.0,6.3,3.1,7.6,136.70833333333334
24.8,30.6,20.4,66.0,0.0,6.3,3.1,7.6,160.66666666666666
25.2,31.3,20.8,64.0,0.0,6.3,2.4,5.4,245.66666666666663
23.7,29.6,21.0,68.0,0.0,7.7,2.4,5.4,261.6666666666667
23.9,28.8,20.2,68.0,0.0,6.9,2.0,5.4,272.4166666666667
22.2,26.7,19.4,71.0,0.0,6.9,5.6,7.6,149.625
21.7,25.0,19.9,78.0,0.0,6.9,5.0,7.6,99.70833333333331
22.9,26.6,18.8,66.0,0.25,6.9,3.7,7.6,217.375
23.2,27.8,19.3,66.0,0.0,6.9,3.1,7.6,337.5
21.5,25.6,19.2,87.0,1.52,6.9,3.0,5.4,321.5416666666667
22.0,26.0,18.3,80.0,13.46,6.9,2.2,7.6,278.0
22.5,27.2,18.6,64.0,0.0,6.3,3.9,5.4,192.33333333333331
23.6,28.2,19.3,65.0,0.0,6.3,4.1,7.6,224.16666666666663
23.5,29.1,19.4,74.0,0.0,6.9,0.9,5.4,214.63636363636363
24.4,28.7,21.0,74.0,0.0,6.3,2.0,7.6,221.54166666666663
24.1,30.0,20.5,71.0,0.0,6.3,2.8,5.4,166.70833333333334
24.2,29.0,20.7,70.0,0.0,6.3,3.5,5.4,130.70833333333334
23.8,29.6,20.2,70.0,0.0,6.3,3.9,5.4,194.70833333333331
22.7,30.0,18.6,65.0,0.0,5.8,5.0,7.6,134.45833333333334
22.2,28.0,17.4,76.0,0.0,6.0,4.1,5.4,110.0
22.4,26.8,19.2,78.0,0.0,6.0,5.0,11.1,160.0
19.8,24.7,19.0,95.0,10.67,4.0,7.0,9.4,118.91666666666669
19.8,21.6,18.2,88.0,8.89,4.8,7.0,9.4,176.375
